Employee_ID,Department,Job_Role,Education_Level,Age,Years_At_Company,Monthly_Income,Performance_Score,Join_Date,Attrition
601,Engineering,Software Engineer,Bachelor,21,13.0,7155.17,92.0,2011-07-15,No
737,Sales,Sales Executive,Master,30,2.0,5122.52,59.0,2022-09-22,No
315,Finance,Accountant,Bachelor,37,0.0,4578.13,80.0,2024-06-18,No
816,Sales,Sales Manager,Bachelor,31,0.0,3649.32,79.0,2024-08-15,No
979,Marketing,Marketing Analyst,Bachelor,42,2.0,4218.21,75.0,2022-09-07,No
10,Sales,Account Rep,Bachelor,31,3.0,5031.15,76.0,2021-09-21,No
135,Marketing,Marketing Manager,Master,35,12.0,7297.6,86.0,2012-09-26,No
778,Sales,Sales Manager,Bachelor,36,0.0,2422.59,73.0,2024-06-13,No
410,Finance,Finance Manager,High School,21,0.0,2736.65,84.0,2024-06-22,No
413,Finance,Finance Manager,Bachelor,25,1.0,3406.96,77.0,2023-08-23,Yes
460,Engineering,Software Engineer,Bachelor,24,0.4,3563.54,56.0,2023-02-19,No
510,Finance,Finance Manager,High School,29,0.0,2590.3,97.0,2024-11-09,No
55,Engineering,Senior Engineer,High School,38,2.0,3663.41,60.0,2022-03-19,No
802,Marketing,Content Specialist,Bachelor,34,4.0,5443.74,73.0,2020-11-24,No
714,HR,HR Specialist,PhD,21,0.0,6519.52,64.0,2024-03-08,No
543,Sales,Sales Manager,Bachelor,37,2.0,4255.01,68.0,2022-05-22,No
768,Sales,Sales Executive,Bachelor,31,2.0,4932.27,100.0,2022-05-25,Yes
147,Marketing,Content Specialist,Bachelor,34,4.0,4583.48,69.0,2020-04-14,No
837,Engineering,QA Engineer,Master,39,3.0,6223.34,84.0,2021-04-12,Yes
488,HR,Recruiter,Master,39,4.0,6656.28,58.0,2020-09-21,No
874,Engineering,Senior Engineer,Bachelor,32,1.0,2481.58,62.0,2023-02-07,No
949,Marketing,Content Specialist,High School,21,2.0,3293.4,64.0,2022-01-05,No
719,Sales,Sales Executive,Master,38,0.0,5076.62,78.0,2024-10-17,No
35,Marketing,Marketing Manager,Bachelor,35,1.0,4700.66,85.0,2023-01-17,No
172,Marketing,Marketing Analyst,Bachelor,36,1.0,3729.38,81.0,2023-03-21,No
396,Engineering,Senior Engineer,Bachelor,21,9.0,7267.35,63.0,2015-07-14,No
369,Marketing,Marketing Manager,Bachelor,27,0.0,3651.04,80.0,2024-11-27,No
362,Sales,Account Rep,Bachelor,37,4.0,4259.49,71.4,2020-10-27,Yes
329,HR,Recruiter,Bachelor,36,1.0,3295.63,71.0,2023-07-20,No
684,Marketing,Content Specialist,Bachelor,41,6.0,6256.33,82.0,2018-07-01,No
257,Sales,Sales Executive,Master,37,11.0,9446.36,85.0,2013-04-18,Yes
1000,Sales,Account Rep,Master,40,0.0,3992.95,51.0,2024-11-25,Yes
180,Sales,Account Rep,Master,43,0.0,5806.0,72.0,2024-03-17,No
919,Sales,Sales Executive,High School,29,0.0,6025.25,69.0,2024-03-07,No
586,Marketing,Marketing Manager,Bachelor,37,2.0,5695.2,85.0,2022-04-10,No
165,HR,Recruiter,Bachelor,38,8.0,6469.49,61.0,2016-02-11,No
850,Engineering,QA Engineer,Master,40,6.0,5752.89,61.0,2018-08-18,No
957,Engineering,Senior Engineer,Bachelor,43,0.0,3470.17,69.0,2024-07-17,Yes
467,Sales,Account Rep,Bachelor,21,2.2,3308.2,47.0,2023-06-12,Yes
373,Finance,Financial Analyst,Bachelor,49,1.0,3544.52,73.0,2023-12-06,No
602,Sales,Sales Manager,Bachelor,28,1.0,3805.73,58.0,2023-08-25,No
485,Engineering,Senior Engineer,Master,36,0.0,3663.35,78.0,2024-10-14,Yes
14,Sales,Account Rep,Master,30,2.0,7016.19,86.0,2022-08-27,No
749,Engineering,Senior Engineer,Master,37,0.0,5402.94,73.0,2024-05-03,No
317,Finance,Finance Manager,High School,39,10.0,5125.66,71.4,2014-12-01,No
456,Sales,Sales Manager,Bachelor,23,0.0,3527.11,76.0,2024-08-06,No
217,HR,Recruiter,PhD,43,8.0,7754.65,79.0,2016-07-16,No
490,Marketing,Marketing Analyst,High School,41,0.0,3295.19,80.0,2024-12-13,Yes
306,Sales,Sales Executive,Bachelor,30,0.0,3913.6,75.0,2024-08-24,Yes
659,Sales,Account Rep,Bachelor,24,4.0,4962.91,98.0,2020-09-18,No
956,Sales,Sales Manager,Bachelor,39,2.0,4966.18,68.0,2022-10-06,No
583,Engineering,Software Engineer,Bachelor,35,7.0,4746.41,74.0,2017-12-15,No
900,Sales,Account Rep,Master,45,2.0,4629.46,82.0,2022-05-17,No
661,Sales,Sales Executive,Bachelor,38,2.0,4392.07,64.0,2022-08-18,No
409,Sales,Sales Manager,High School,33,6.0,4193.69,63.0,2018-10-17,No
100,Engineering,Software Engineer,Bachelor,50,1.0,4243.07,64.0,2023-05-11,Yes
786,Engineering,Software Engineer,Bachelor,50,9.0,6458.52,70.0,2015-11-26,No
154,Marketing,Marketing Analyst,High School,42,2.0,2873.64,71.0,2022-12-18,No
47,HR,HR Manager,Master,25,12.0,7633.42,55.0,2012-02-08,No
5,Sales,Sales Manager,Master,56,2.6,5659.42,80.0,2024-07-25,Yes
173,Sales,Sales Manager,Master,38,2.0,4876.5,58.0,2022-07-07,No
966,Sales,Sales Executive,Bachelor,30,7.0,6996.87,77.0,2017-08-07,No
927,Marketing,Content Specialist,Bachelor,42,0.0,4490.99,57.0,2024-05-17,Yes
998,Sales,Account Rep,Bachelor,43,0.0,4061.57,87.0,2024-10-23,No
260,Engineering,QA Engineer,Bachelor,31,1.0,4066.44,73.0,2023-08-01,No
559,Sales,Sales Manager,PhD,27,10.0,8586.79,80.0,2014-06-06,No
233,Sales,Sales Manager,Bachelor,42,5.0,4501.98,77.0,2019-05-10,No
109,Finance,Accountant,Bachelor,47,1.0,4961.88,54.0,2023-06-22,Yes
855,Engineering,Senior Engineer,Bachelor,31,1.0,4300.9,82.0,2023-03-13,No
981,Marketing,Content Specialist,Master,48,0.0,4435.48,91.0,2024-05-20,No
99,Sales,Sales Executive,Master,41,7.2,5579.88,78.0,2021-01-06,No
766,HR,HR Manager,Master,29,2.0,5924.22,50.0,2022-07-12,Yes
834,Engineering,Software Engineer,Master,28,0.0,5443.1,79.0,2024-06-16,No
221,Finance,Financial Analyst,High School,28,7.0,4989.51,70.0,2017-10-13,No
358,Engineering,Senior Engineer,High School,25,8.0,5999.14,74.0,2016-02-13,No
972,Engineering,Software Engineer,Master,36,2.0,5678.76,70.0,2022-02-05,No
25,Sales,Sales Executive,Bachelor,29,8.0,5688.87,71.6,2016-06-19,No
993,Engineering,Software Engineer,Bachelor,44,1.0,3872.68,71.0,2023-05-14,Yes
682,Engineering,QA Engineer,High School,24,0.4,2277.65,60.0,2024-01-09,No
385,Sales,Account Rep,Bachelor,32,1.2,3441.67,84.0,2023-11-18,No
95,Finance,Finance Manager,Bachelor,38,0.0,3512.89,70.0,2024-10-03,Yes
771,Marketing,Marketing Manager,Bachelor,21,1.0,4517.51,83.0,2023-07-22,No
114,Finance,Accountant,Master,45,2.8,5817.87,95.0,2022-06-26,No
126,Sales,Account Rep,PhD,28,0.0,6601.62,65.0,2024-01-12,No
61,Marketing,Marketing Manager,Bachelor,56,0.0,2881.73,61.0,2024-12-02,Yes
434,HR,HR Manager,Master,28,3.0,4855.43,79.0,2021-11-25,No
296,Engineering,QA Engineer,Master,29,5.0,7022.31,68.8,2019-05-10,No
245,Marketing,Content Specialist,Bachelor,41,0.0,3737.51,100.0,2024-03-20,No
681,HR,Recruiter,PhD,52,4.0,8960.84,90.0,2020-06-26,Yes
76,Finance,Accountant,Bachelor,21,2.0,4903.51,87.0,2022-07-03,Yes
899,Sales,Sales Executive,Bachelor,25,6.2,2901.76,73.0,2023-08-25,No
427,Engineering,Senior Engineer,High School,25,3.0,5100.42,97.0,2021-10-26,No
716,HR,HR Manager,High School,30,2.0,3888.19,67.0,2022-12-27,No
418,Sales,Account Rep,Bachelor,32,5.0,6136.66,88.0,2019-09-23,No
910,Sales,Sales Manager,Bachelor,44,2.0,3936.03,64.0,2022-02-15,No
390,Marketing,Marketing Manager,Master,33,0.0,4200.99,64.0,2024-02-25,No
