Employee_ID,Department,Job_Role,Education_Level,Age,Years_At_Company,Monthly_Income,Performance_Score,Join_Date,Attrition,Predicted_Income,Pay_Gap,Pay_Gap_Percent,Pay_Equity_Flag,Attrition_Risk_Probability,Attrition_Risk_Level,High_Performer,Predicted_High_Performer,Cluster,Employee_Segment
601,Engineering,Software Engineer,Bachelor,21,13.0,7155.17,92.0,2011-07-15,No,7219.13,-63.96,-0.9,Within Expected Range,0.1192,Low,1,No,1,"Established, Higher-Income Employees"
737,Sales,Sales Executive,Master,30,2.0,5122.52,59.0,2022-09-22,No,5304.98,-182.46,-3.4,Within Expected Range,0.6413,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
315,Finance,Accountant,Bachelor,37,0.0,4578.13,80.0,2024-06-18,No,3772.18,805.95,21.4,Within Expected Range,0.6481,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
816,Sales,Sales Manager,Bachelor,31,0.0,3649.32,79.0,2024-08-15,No,3798.31,-148.99,-3.9,Within Expected Range,0.5154,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
979,Marketing,Marketing Analyst,Bachelor,42,2.0,4218.21,75.0,2022-09-07,No,4430.12,-211.91,-4.8,Within Expected Range,0.5862,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
10,Sales,Account Rep,Bachelor,31,3.0,5031.15,76.0,2021-09-21,No,4547.82,483.33,10.6,Within Expected Range,0.2994,Low,0,Yes,0,"Short-Tenure, Lower-Income Employees"
135,Marketing,Marketing Manager,Master,35,12.0,7297.6,86.0,2012-09-26,No,7778.29,-480.69,-6.2,Within Expected Range,0.2928,Low,1,Yes,1,"Established, Higher-Income Employees"
778,Sales,Sales Manager,Bachelor,36,0.0,2422.59,73.0,2024-06-13,No,3802.02,-1379.43,-36.3,Within Expected Range,0.6213,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
410,Finance,Finance Manager,High School,21,0.0,2736.65,84.0,2024-06-22,No,2936.97,-200.32,-6.8,Within Expected Range,0.4319,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
413,Finance,Finance Manager,Bachelor,25,1.0,3406.96,77.0,2023-08-23,Yes,4049.25,-642.29,-15.9,Within Expected Range,0.4885,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
460,Engineering,Software Engineer,Bachelor,24,0.4,3563.54,56.0,2023-02-19,No,4077.72,-514.18,-12.6,Within Expected Range,0.4757,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
510,Finance,Finance Manager,High School,29,0.0,2590.3,97.0,2024-11-09,No,2944.56,-354.26,-12.0,Within Expected Range,0.4763,Medium,1,No,0,"Short-Tenure, Lower-Income Employees"
55,Engineering,Senior Engineer,High School,38,2.0,3663.41,60.0,2022-03-19,No,3542.63,120.78,3.4,Within Expected Range,0.6374,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
802,Marketing,Content Specialist,Bachelor,34,4.0,5443.74,73.0,2020-11-24,No,4713.8,729.94,15.5,Within Expected Range,0.3227,Low,0,No,0,"Short-Tenure, Lower-Income Employees"
714,HR,HR Specialist,PhD,21,0.0,6519.52,64.0,2024-03-08,No,5597.68,921.84,16.5,Within Expected Range,0.3336,Low,0,Yes,0,"Short-Tenure, Lower-Income Employees"
543,Sales,Sales Manager,Bachelor,37,2.0,4255.01,68.0,2022-05-22,No,4301.1,-46.09,-1.1,Within Expected Range,0.5077,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
768,Sales,Sales Executive,Bachelor,31,2.0,4932.27,100.0,2022-05-25,Yes,4448.66,483.61,10.9,Within Expected Range,0.5316,Medium,1,Yes,0,"Short-Tenure, Lower-Income Employees"
147,Marketing,Content Specialist,Bachelor,34,4.0,4583.48,69.0,2020-04-14,No,4713.5,-130.02,-2.8,Within Expected Range,0.3689,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
837,Engineering,QA Engineer,Master,39,3.0,6223.34,84.0,2021-04-12,Yes,5530.31,693.03,12.5,Within Expected Range,0.3963,Medium,0,No,1,"Established, Higher-Income Employees"
488,HR,Recruiter,Master,39,4.0,6656.28,58.0,2020-09-21,No,5851.35,804.93,13.8,Within Expected Range,0.4724,Medium,0,Yes,1,"Established, Higher-Income Employees"
874,Engineering,Senior Engineer,Bachelor,32,1.0,2481.58,62.0,2023-02-07,No,4148.66,-1667.08,-40.2,Within Expected Range,0.7281,High,0,No,0,"Short-Tenure, Lower-Income Employees"
949,Marketing,Content Specialist,High School,21,2.0,3293.4,64.0,2022-01-05,No,3343.56,-50.16,-1.5,Within Expected Range,0.3209,Low,0,No,0,"Short-Tenure, Lower-Income Employees"
719,Sales,Sales Executive,Master,38,0.0,5076.62,78.0,2024-10-17,No,4814.41,262.21,5.4,Within Expected Range,0.6985,High,0,Yes,0,"Short-Tenure, Lower-Income Employees"
35,Marketing,Marketing Manager,Bachelor,35,1.0,4700.66,85.0,2023-01-17,No,4175.68,524.98,12.6,Within Expected Range,0.5328,Medium,1,Yes,0,"Short-Tenure, Lower-Income Employees"
172,Marketing,Marketing Analyst,Bachelor,36,1.0,3729.38,81.0,2023-03-21,No,4176.27,-446.89,-10.7,Within Expected Range,0.5783,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
396,Engineering,Senior Engineer,Bachelor,21,9.0,7267.35,63.0,2015-07-14,No,6134.05,1133.3,18.5,Within Expected Range,0.2934,Low,0,No,1,"Established, Higher-Income Employees"
369,Marketing,Marketing Manager,Bachelor,27,0.0,3651.04,80.0,2024-11-27,No,3919.37,-268.33,-6.8,Within Expected Range,0.556,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
362,Sales,Account Rep,Bachelor,37,4.0,4259.49,71.4,2020-10-27,Yes,4801.77,-542.28,-11.3,Within Expected Range,0.3635,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
329,HR,Recruiter,Bachelor,36,1.0,3295.63,71.0,2023-07-20,No,4241.72,-946.09,-22.3,Within Expected Range,0.5882,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
684,Marketing,Content Specialist,Bachelor,41,6.0,6256.33,82.0,2018-07-01,No,5218.88,1037.45,19.9,Within Expected Range,0.2882,Low,0,No,1,"Established, Higher-Income Employees"
257,Sales,Sales Executive,Master,37,11.0,9446.36,85.0,2013-04-18,Yes,7556.46,1889.9,25.0,Above Expected,0.2903,Low,1,Yes,1,"Established, Higher-Income Employees"
1000,Sales,Account Rep,Master,40,0.0,3992.95,51.0,2024-11-25,Yes,4665.71,-672.76,-14.4,Within Expected Range,0.5631,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
180,Sales,Account Rep,Master,43,0.0,5806.0,72.0,2024-03-17,No,4669.74,1136.26,24.3,Within Expected Range,0.4586,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
919,Sales,Sales Executive,High School,29,0.0,6025.25,69.0,2024-03-07,No,3085.93,2939.32,95.2,Above Expected,0.4679,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
586,Marketing,Marketing Manager,Bachelor,37,2.0,5695.2,85.0,2022-04-10,No,4426.64,1268.56,28.7,Within Expected Range,0.4776,Medium,1,Yes,0,"Short-Tenure, Lower-Income Employees"
165,HR,Recruiter,Bachelor,38,8.0,6469.49,61.0,2016-02-11,No,5987.79,481.7,8.0,Within Expected Range,0.3381,Low,0,Yes,1,"Established, Higher-Income Employees"
850,Engineering,QA Engineer,Master,40,6.0,5752.89,61.0,2018-08-18,No,6277.37,-524.48,-8.4,Within Expected Range,0.4102,Medium,0,No,1,"Established, Higher-Income Employees"
957,Engineering,Senior Engineer,Bachelor,43,0.0,3470.17,69.0,2024-07-17,Yes,3909.0,-438.83,-11.2,Within Expected Range,0.7526,High,0,No,0,"Short-Tenure, Lower-Income Employees"
467,Sales,Account Rep,Bachelor,21,2.2,3308.2,47.0,2023-06-12,Yes,4337.94,-1029.74,-23.7,Within Expected Range,0.3671,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
373,Finance,Financial Analyst,Bachelor,49,1.0,3544.52,73.0,2023-12-06,No,4092.92,-548.4,-13.4,Within Expected Range,0.6482,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
602,Sales,Sales Manager,Bachelor,28,1.0,3805.73,58.0,2023-08-25,No,4043.59,-237.86,-5.9,Within Expected Range,0.4997,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
485,Engineering,Senior Engineer,Master,36,0.0,3663.35,78.0,2024-10-14,Yes,4764.02,-1100.67,-23.1,Within Expected Range,0.7516,High,0,No,0,"Short-Tenure, Lower-Income Employees"
14,Sales,Account Rep,Master,30,2.0,7016.19,86.0,2022-08-27,No,5158.59,1857.6,36.0,Above Expected,0.2685,Low,1,Yes,1,"Established, Higher-Income Employees"
749,Engineering,Senior Engineer,Master,37,0.0,5402.94,73.0,2024-05-03,No,4764.48,638.46,13.4,Within Expected Range,0.6896,High,0,No,0,"Short-Tenure, Lower-Income Employees"
317,Finance,Finance Manager,High School,39,10.0,5125.66,71.4,2014-12-01,No,5444.04,-318.38,-5.8,Within Expected Range,0.2939,Low,0,No,1,"Established, Higher-Income Employees"
456,Sales,Sales Manager,Bachelor,23,0.0,3527.11,76.0,2024-08-06,No,3791.45,-264.34,-7.0,Within Expected Range,0.4701,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
217,HR,Recruiter,PhD,43,8.0,7754.65,79.0,2016-07-16,No,7713.6,41.05,0.5,Within Expected Range,0.4162,Medium,0,Yes,1,"Established, Higher-Income Employees"
490,Marketing,Marketing Analyst,High School,41,0.0,3295.19,80.0,2024-12-13,Yes,3070.87,224.32,7.3,Within Expected Range,0.5834,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
306,Sales,Sales Executive,Bachelor,30,0.0,3913.6,75.0,2024-08-24,Yes,3947.38,-33.78,-0.9,Within Expected Range,0.6442,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
659,Sales,Account Rep,Bachelor,24,4.0,4962.91,98.0,2020-09-18,No,4792.93,169.98,3.5,Within Expected Range,0.2266,Low,1,Yes,0,"Short-Tenure, Lower-Income Employees"
956,Sales,Sales Manager,Bachelor,39,2.0,4966.18,68.0,2022-10-06,No,4302.76,663.42,15.4,Within Expected Range,0.4842,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
583,Engineering,Software Engineer,Bachelor,35,7.0,4746.41,74.0,2017-12-15,No,5733.59,-987.18,-17.2,Within Expected Range,0.3568,Medium,0,No,1,"Established, Higher-Income Employees"
900,Sales,Account Rep,Master,45,2.0,4629.46,82.0,2022-05-17,No,5170.75,-541.29,-10.5,Within Expected Range,0.4861,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
661,Sales,Sales Executive,Bachelor,38,2.0,4392.07,64.0,2022-08-18,No,4451.82,-59.75,-1.3,Within Expected Range,0.6561,High,0,Yes,0,"Short-Tenure, Lower-Income Employees"
