Employee_ID,Department,Job_Role,Education_Level,Age,Years_At_Company,Monthly_Income,Performance_Score,Join_Date,Attrition
601,Engineering,Software Engineer,Bachelor,21,13,7155.17,92,2011-07-15,No
737,SALES,Sales Executive,master,30,2,5122.52,59,2022-09-22,No
315,Finance,Accountant,Bachelor's,37,0,4578.13,80,2024-06-18,No
816,SALES,Sales Manager,Bachelor,31,0,3649.32,,2024-08-15,No
979,marketing,Marketing Analyst,Bachelor,42,2,4218.21,75,2022-09-07,No
10,Sales,Account Rep,Bachelor's,31,3,5031.15,76,2021-09-21,No
135,Marketing,Marketing Manager,Master,35,12,7297.6,86,2012-09-26,No
778,Sales,Sales Manager,Bachelor,36,0,2422.59,,2024-06-13,No
410,FINANCE,Finance Manager,High School,21,0,2736.65,84,2024-06-22,No
413,FINANCE,Finance Manager,Bachelor,25,1,3406.96,77,2023-08-23,Yes
72,ENGINEEERING,Software Engineer,Bachelor,28,2,3296.54,38,2022-11-27,No
460,Engineering,Software Engineer,bachelor,24,N/A,3563.54,56,2023-02-19,No
510,finance,Finance Manager,High School,29,0,2590.3,97,2024-11-09,No
55,engineering,Senior Engineer,High School,38,2,3663.41,60,2022-03-19,No
802,Marketing,Content Specialist,Bachelor,34,4,5443.74,73,2020-11-24,No
714,Human Resources,HR Specialist,PhD,21,0,6519.52,64,2024-03-08,No
543,Sales,Sales Manager,Bachelor's,37,2,4255.01,68,2022-05-22,No
768,SALES,Sales Executive,bachelor,31,2,4932.27,100,2022-05-25,Yes
147,Marketing,Content Specialist,Bachelor,34,4,NA,69,2020-04-14,No
837,Engineering,QA Engineer,Master,39,3,6223.34,84,2021-04-12,Yes
488,hr,Recruiter,Master's,39,4,6656.28,58,2020-09-21,No
874,Engineering,Senior Engineer,Bachelor,32,1,2481.58,62,2023-02-07,No
949,Marketing,Content Specialist,HS,21,2,3293.4,64,2022-01-05,No
719,Sales,Sales Executive,Master,38,0,5076.62,78,2024-10-17,No
35,Marketing ,Marketing Manager,Bachelor,35,1,4700.66,85,2023-01-17,No
172,Marketing ,Marketing Analyst,Bachelor,36,1,3729.38,81,2023-03-21,No
396,Engineering,Senior Engineer,bachelor,21,9,7267.35,63,2015-07-14,No
369,Marketing,Marketing Manager,Bachelor,27,0,3651.04,,2024-11-27,No
362,Sales,Account Rep,bachelor,37,4,4259.49,,2020-10-27,Yes
329,hr,Recruiter,Bachelor,36,1,3295.63,71,2023-07-20,No
171,Sales,Sales Executive,bachelor,25,4,55214.55,67,2020-12-11,No
684,MARKETING,Content Specialist,Bachelor,41,6,6256.33,82,2018-07-01,No
257,sales,Sales Executive,master,37,11,9446.36,,2013-04-18,Yes
1000,SALES,Account Rep,Master,40,0,3992.95,51,2024-11-25,Yes
180,Sales,Account Rep,Master,43,0,5806.0,72,2024-03-17,No
919,SALES,Sales Executive,High School,29,0,,69,2024-03-07,No
586,Marketing,Marketing Manager,Bachelor,37,2,5695.2,85,2022-04-10,No
165,Human Resources,Recruiter,Bachelor,38,8,6469.49,61,2016-02-11,No
850,Eng.,QA Engineer,Master's,40,6,5752.89,61,2018-08-18,No
957,Engineering,Senior Engineer,Bachelor,43,0,3470.17,69,2024-07-17,Yes
326,Engineering,Senior Engineer,high school,36,4,NA,88,2020-11-16,No
467,Sales,Account Rep,bachelor,21,N/A,3308.2,47,2023-06-12,Yes
373,Finance,Financial Analyst,Bachelor,49,1,3544.52,73,2023-12-06,No
602,sales,Sales Manager,bachelor,28,1,3805.73,58,2023-08-25,No
485,Engineering,Senior Engineer,Master's,36,0,3663.35,78,2024-10-14,Yes
14,Sales ,Account Rep,Master,30,2,7016.19,86,2022-08-27,No
749,Engineering,Senior Engineer,Master's,37,0,5402.94,73,2024-05-03,No
317,Finance,Finance Manager,High School,39,10,5125.66,,2014-12-01,No
456,Sales ,Sales Manager,Bachelor,23,0,3527.11,76,2024-08-06,No
141,Sales,Account Rep,Bachelor,43,20,7203.27,80,2005-04-08,No
217,hr,Recruiter,PhD,43,8,7754.65,79,2016-07-16,No
490,MARKETING,Marketing Analyst,High School,41,0,3295.19,80,2024-12-13,Yes
306,Sales,Sales Executive,Bachelor's,30,0,3913.6,75,2024-08-24,Yes
659,Sales ,Account Rep,Bachelor's,24,4,4962.91,98,2020-09-18,No
956,sales,Sales Manager,Bachelor's,39,2,4966.18,68,2022-10-06,No
583,Engineering,Software Engineer,Bachelor's,35,7,4746.41,74,2017-12-15,No
900,sales,Account Rep,Master,45,2,4629.46,82,2022-05-17,No
661,Sales,Sales Executive,Bachelor,38,2,NA,64,2022-08-18,No
409,Sales ,Sales Manager,High School,33,6,4193.69,63,2018-10-17,No
100,Engineeering,Software Engineer,Bachelor,50,1,4243.07,64,2023-05-11,Yes
786,Engineering,Software Engineer,Bachelor,50,9,6458.52,70,2015-11-26,No
154,Marketing ,Marketing Analyst,High School,42,2,2873.64,71,2022-12-18,No
47,Human Resources,HR Manager,Master,25,12,7633.42,55,2012-02-08,No
5,Sales,Sales Manager,Master,56,null,5659.42,80,2024-07-25,Yes
173,SALES,Sales Manager,master,38,2,4876.5,58,2022-07-07,No
966,Sales,Sales Executive,Bachelor,30,7,6996.87,77,2017-08-07,No
927,Marketing,Content Specialist,Bachelor,42,0,4490.99,57,2024-05-17,Yes
223,sales,Sales Executive,High School,130,0,2784.64,80,2024-04-08,No
998,Sales ,Account Rep,bachelor,43,0,4061.57,87,2024-10-23,No
260,Engineeering,QA Engineer,Bachelor,31,1,4066.44,73,2023-08-01,No
559,Sales,Sales Manager,PhD,27,10,8586.79,80,2014-06-06,No
233,Sales,Sales Manager,Bachelor,42,5,4501.98,77,2019-05-10,No
109,finance,Accountant,Bachelor,47,1,4961.88,54,2023-06-22,Yes
855,Engineering,Senior Engineer,Bachelor,31,1,,82,2023-03-13,No
981,Marketing,Content Specialist,Master,48,0,4435.48,91,2024-05-20,No
99,Sales,Sales Executive,Master's,41,N/A,5579.88,78,2021-01-06,No
601,Engineering,Software Engineer,Bachelor,21,13,7155.17,92,2011-07-15,No
766,HR,HR Manager,Master's,29,2,5924.22,50,2022-07-12,Yes
834,Engineering,Software Engineer,master,28,0,5443.1,79,2024-06-16,No
221,Finance,Financial Analyst,HS,28,7,4989.51,70,2017-10-13,No
358,Engineering,Senior Engineer,high school,25,8,5999.14,74,2016-02-13,No
972,Eng.,Software Engineer,Master,36,2,5678.76,70,2022-02-05,No
25,Sales,Sales Executive,Bachelor,29,8,5688.87,,2016-06-19,No
993,Engineering,Software Engineer,Bachelor's,44,1,3872.68,71,2023-05-14,Yes
682,Engineering,QA Engineer,high school,24,,2277.65,60,2024-01-09,No
385,Sales,Account Rep,Bachelor,32,null,3441.67,84,2023-11-18,No
95,finance,Finance Manager,bachelor,38,0,3512.89,70,2024-10-03,Yes
771,Marketing ,Marketing Manager,Bachelor,21,1,4517.51,83,2023-07-22,No
452,Eng.,Senior Engineer,bachelor,45,7,4285.51,40,2017-04-03,No
26,Engineering,Software Engineer,Master's,130,1,3541.41,77,2023-12-12,No
114,Finance ,Accountant,Master,45,NA,5817.87,95,2022-06-26,No
126,sales,Account Rep,PhD,28,0,6601.62,65,2024-01-12,No
61,MARKETING,Marketing Manager,Bachelor,56,0,2881.73,61,2024-12-02,Yes
434,HR,HR Manager,Master's,28,3,4855.43,79,2021-11-25,No
296,ENGINEERING,QA Engineer,Master,29,5,7022.31,,2019-05-10,No
245,marketing,Content Specialist,Bachelor,41,0,null,100,2024-03-20,No
681,Human Resources,Recruiter,Ph.D.,52,4,8960.84,90,2020-06-26,Yes
76,Finance ,Accountant,Bachelor,21,2,4903.51,87,2022-07-03,Yes
899,Sales,Sales Executive,Bachelor's,25,null,2901.76,73,2023-08-25,No
427,Engineering,Senior Engineer,High School,25,3,5100.42,97,2021-10-26,No
716,H.R.,HR Manager,High School,30,2,3888.19,67,2022-12-27,No
418,Sales ,Account Rep,Bachelor,32,5,6136.66,88,2019-09-23,No
910,Sales,Sales Manager,Bachelor,44,2,3936.03,64,2022-02-15,No
390,marketing,Marketing Manager,Master,33,0,4200.99,64,2024-02-25,No
54,Finance,Accountant,Master,26,3,5569.77,75,2021-10-23,No
844,HR,Recruiter,Bachelor's,21,5,5051.16,66,2019-10-21,No
351,Finance,Accountant,Bachelor,25,0,3603.93,80,2024-08-09,No
206,Marketing,Marketing Analyst,Master,33,7,53235.72,93,2017-07-09,No
472,sales,Sales Executive,Bachelor,44,1,4143.85,67,2023-04-02,Yes
532,sales,Account Rep,PhD,52,2,7035.25,75,2022-08-09,No
644,sales,Sales Executive,High School,36,16,6919.47,74,2008-06-14,No
404,Marketing,Marketing Manager,Master,27,0,4935.97,51,2024-02-22,Yes
907,Engineering,QA Engineer,High School,21,0,3354.65,73,2024-06-16,No
493,Finance,Finance Manager,Bachelor's,39,4,4749.94,60,2020-06-04,No
376,Human Resources,Recruiter,Bachelor,23,-999,3106.69,69,2024-12-15,Yes
913,Marketing,Marketing Manager,Bachelor,21,4,4226.73,77,2020-09-04,No
511,Sales,Sales Executive,Ph.D.,31,0,5156.98,67,2024-03-03,No
98,FINANCE,Financial Analyst,Bachelor,30,2,3410.34,63,2022-10-18,No
286,Marketing,Marketing Analyst,Bachelor,29,0,3085.05,54,2024-04-27,Yes
783,Sales,Sales Executive,Master,30,NA,4728.2,83,2024-04-25,Yes
740,finance,Finance Manager,Master,37,1,,71,2023-08-12,No
499,Engineering,Senior Engineer,High School,25,6,4743.11,80,2018-10-06,No
781,FINANCE,Finance Manager,Bachelor,21,2,4145.89,75,2022-06-19,No
18,finance,Financial Analyst,bachelor,34,7,5312.33,84,2017-04-11,No
197,Finance,Financial Analyst,Bachelor,25,2,4804.95,69,2022-06-12,No
27,Finance,Accountant,High School,51,5,4654.12,72,2019-01-24,No
729,Human Resources,HR Manager,Master's,30,2,4036.99,63,2022-08-27,No
187,SALES,Sales Manager,bachelor,31,6,33710.04,46,2018-03-12,No
744,Sales,Account Rep,PhD,33,-999,5132.78,39,2024-10-16,No
345,engineering,Software Engineer,Bachelor,39,0,2448.96,87,2024-04-20,No
703,Marketing,Content Specialist,Master,35,6,4741.72,65,2018-04-06,No
190,SALES,Sales Executive,Master,36,null,5909.95,95,2020-05-03,No
743,engineering,QA Engineer,Bachelor,44,3,3017.63,,2021-01-26,No
971,Engineering,Senior Engineer,Master,26,11,6364.49,71,2013-08-05,No
271,Sales,Sales Manager,High School,39,4,4892.35,76,2020-11-13,No
327,Sales,Account Rep,phd,49,9,9252.24,52,2015-07-11,Yes
807,MARKETING,Marketing Analyst,Master,28,0,5213.31,81,2024-02-13,No
813,sales,Sales Manager,High School,36,1,3350.23,48,2023-10-25,Yes
779,H.R.,HR Manager,Bachelor's,31,0,2858.12,88,2024-02-08,No
796,Sales,Account Rep,Master,40,4,6735.44,84,2020-02-14,No
352,HR,HR Manager,High School,33,7,4546.1,46,2017-08-09,No
386,Engineering,Software Engineer,Bachelor,26,NA,3938.53,51,2023-11-06,Yes
753,Engineering,QA Engineer,Bachelor's,42,0,4283.25,79,2024-03-04,No
792,Eng.,Software Engineer,HS,30,6,4985.44,93,2018-07-04,No
732,engineering,Senior Engineer,Master,32,6,6008.74,61,2018-01-21,No
263,marketing,Marketing Analyst,Bachelor's,37,0,3775.87,76,2024-02-26,No
841,Engineering,QA Engineer,High School,33,0,2756.01,75,2024-08-01,No
75,Engineeering,QA Engineer,high school,45,2,2103.84,86,2022-01-08,No
169,engineering,Software Engineer,Bachelor,50,,5670.02,64,2020-01-14,No
650,Marketing,Marketing Manager,Bachelor,32,5,5979.48,53,2019-08-09,No
563,MARKETING,Marketing Analyst,Bachelor,44,0,4205.86,92,2024-02-16,No
263,marketing,Marketing Analyst,Bachelor's,37,0,3775.87,76,2024-02-26,No
660,FINANCE,Financial Analyst,Bachelor,35,16,7428.22,73,2008-07-27,No
730,Marketing,Marketing Analyst,Master,26,1,4293.99,71,2023-04-13,No
554,Finance,Accountant,Bachelor,36,5,4584.35,64,2019-09-07,No
307,Sales,Account Rep,Master,33,6,5149.56,59,2018-12-23,Yes
926,Engineering,Senior Engineer,Bachelor's,38,4,4488.74,74,2020-04-27,No
962,engineering,Software Engineer,Bachelor's,30,1,4966.99,53,2023-05-06,No
758,Engineeering,Senior Engineer,Bachelor's,31,4,4593.37,85,2020-08-02,No
897,Engineering,QA Engineer,Bachelor,21,0,4477.65,61,2024-09-15,No
791,Finance,Finance Manager,Bachelor,52,-999,7384.53,66,2014-08-02,No
642,Engineering,Software Engineer,bachelor,28,7,null,72,2017-04-26,Yes
503,Engineering,Senior Engineer,master,30,4,4860.54,69,2020-03-26,No
309,finance,Accountant,Bachelor,31,0,?,92,2024-12-06,No
111,Human Resources,HR Manager,master,29,null,5114.43,68,2024-12-20,No
526,Sales,Sales Manager,bachelor,30,0,4613.56,66,2024-01-05,No
870,sales,Sales Manager,Master's,37,0,-999,95,2024-08-09,Yes
58,HR,Recruiter,PhD,42,1,5640.02,66,2023-08-23,Yes
651,HR,Recruiter,bachelor,32,2,3548.07,76,2022-01-02,No
7,FINANCE,Finance Manager,master,41,0,5343.6,61,2024-08-12,No
967,Eng.,Software Engineer,bachelor,4,6,5226.84,47,2018-04-23,No
139,HR,HR Manager,bachelor,37,1,4781.47,74,2023-05-01,No
164,Engineeering,Software Engineer,bachelor,28,5,4399.43,74,2019-07-12,No
359,Finance,Finance Manager,Bachelor,33,0,3986.88,48,2024-01-17,No
891,Engineeering,Software Engineer,Bachelor's,21,23,9975.68,56,2005-10-19,No
839,Sales,Sales Manager,High School,38,0,3077.86,82,2024-11-11,No
44,Finance ,Accountant,High School,23,2,2704.85,80,2022-03-06,Yes
616,Engineering,QA Engineer,bachelor,33,8,7094.9,85,2016-03-03,No
64,SALES,Account Rep,Bachelor's,37,1,5088.4,81,2023-08-14,No
592,hr,HR Manager,Bachelor,35,1,4195.57,80,2023-06-25,Yes
587,Marketing ,Marketing Manager,Master,29,2,6011.45,67,2022-07-16,No
39,Engineeering,Senior Engineer,High School,43,11,5338.26,63,2013-06-07,No
400,Engineeering,QA Engineer,high school,40,5,?,81,2019-06-13,No
787,Marketing ,Marketing Analyst,Bachelor,24,3,,70,2021-11-18,No
889,Finance,Accountant,Master,55,4,5430.78,62,2020-10-08,No
984,Engineering,Software Engineer,Bachelor,33,3,5403.57,57,2021-07-13,Yes
205,Sales ,Sales Manager,Master's,38,3,6313.86,61,2021-05-21,No
421,Sales,Sales Manager,Bachelor,31,4,5376.78,67,2020-11-21,No
961,Marketing,Content Specialist,High School,41,3,2981.51,67,2021-01-06,No
863,Finance,Accountant,Master,41,2,4123.68,68,2022-03-04,Yes
285,Sales,Sales Manager,HS,40,13,4143.54,74,2011-02-13,Yes
453,HR,HR Specialist,PhD,39,0,NA,65,2024-01-18,No
789,MARKETING,Marketing Manager,High School,33,10,5458.09,91,2014-09-06,No
497,SALES,Sales Manager,high school,32,3,4181.01,51,2021-01-26,No
419,MARKETING,Content Specialist,Master,24,4,4836.05,60,2020-04-21,No
